,Max Velocity,Avg Velocity,Avg Altitude Drop
2624,5438.43,4852.72,5872096.29
2625,4925.564,4651.76,8969452.0
2626,5427.012,4856.17,5892081.85
2627,5050.888,4815.07,9499018.46
2628,5352.816999999999,4618.77,5362128.98
2629,4832.794,4408.24,7160502.54
2630,5449.132,4866.78,5941126.72
2631,5054.287,4545.93,6638869.74
2632,5903.949000000001,5233.09,5413519.72
2633,4687.759,4322.33,7883806.69
2634,5743.154,5103.13,5613079.3
2635,4975.766,4552.75,7260964.54
2636,5140.937,4838.23,8306580.7
2637,4977.724,4662.07,8314991.97
2638,5359.585999999998,4634.01,5475400.19
2639,5631.979,4935.55,5494409.34
2640,5788.335,5105.93,5513683.43
