,Max Velocity,Avg Velocity
1226,12.0,3.22
1227,105.0,96.86
1228,72.0,61.04
1229,187.0,141.56
1230,156.0,110.09
1231,184.0,125.94
1232,48.0,40.88
1233,173.0,132.62
1234,182.0,130.38
1235,174.0,125.48
1236,231.0,171.64
1237,139.0,107.14
1238,165.0,118.51
1239,141.0,113.54
1240,65.0,63.65
1241,108.0,76.45
1242,156.0,109.18
1243,154.0,102.71
1244,103.0,94.69
1245,157.0,106.38
1246,100.0,84.82
1247,155.0,107.45
1248,159.0,122.37
1249,175.0,146.51
1250,132.0,98.69
1251,170.0,102.74
1252,140.0,117.84
1253,161.0,126.21
1254,159.0,90.12
1255,160.0,92.6
1256,214.0,159.22
1257,62.0,49.21
1258,167.0,126.61
1259,72.0,67.82
1260,212.0,160.18
1261,148.0,107.24
1262,211.0,157.75
1263,172.0,129.57
1264,152.0,111.52
1265,90.0,74.47
1266,187.0,143.91
1267,146.0,105.96
1268,151.0,108.72
1269,188.0,149.77
1270,154.0,101.32
1271,87.0,87.0
1272,210.0,160.0
1273,161.0,106.98
1274,221.0,165.99
1275,200.0,140.68
1276,143.0,108.16
1277,42.0,42.0
1278,189.0,150.5
1279,52.0,49.84
1280,228.0,161.89
1281,207.0,145.76
1282,134.0,93.51
1283,150.0,123.68
1284,211.0,148.51
1285,115.0,84.95
1286,51.0,44.47
1287,136.0,105.27
1288,154.0,134.64
1289,159.0,123.34
1290,130.0,97.82
1291,108.0,88.19
1292,225.0,165.58
1293,175.0,136.06
1294,234.0,166.59
1295,150.0,102.55
1296,164.0,133.02
1297,148.0,103.02
1298,111.0,89.74
1299,132.0,120.41
1300,224.0,165.23
1301,132.0,89.92
1302,141.0,104.85
1303,128.0,102.59
1304,227.0,159.41
1305,147.0,97.34
1306,199.0,141.28
1307,94.0,79.95
1308,145.0,97.2
1309,163.0,117.29
1310,150.0,96.42
1311,216.0,163.14
1312,157.0,110.95
1313,134.0,89.39
1314,135.0,92.91
1315,116.0,100.42
1316,231.0,156.44
1317,189.0,136.18
1318,118.0,93.03
1319,200.0,159.32
1320,129.0,98.36
1321,146.0,104.6
1322,130.0,86.39
1323,246.0,174.05
1324,160.0,131.28
1325,104.0,95.94
1326,145.0,93.07
1327,136.0,100.78
1328,153.0,102.15
1329,203.0,164.63
1330,107.0,77.81
1331,219.0,191.28
1332,143.0,101.9
1333,197.0,152.77
1334,206.0,157.3
1335,235.0,151.11
1336,139.0,102.88
1337,154.0,102.72
1338,73.0,70.22
1339,193.0,142.19
1340,156.0,105.41
1341,73.0,56.94
1342,230.0,172.83
1343,133.0,107.23
1344,184.0,139.87
1345,169.0,109.5
1346,235.0,172.83
1347,55.0,55.0
1348,138.0,100.85
1349,140.0,109.88
1350,92.0,84.28
1351,133.0,101.63
1352,237.0,166.18
1353,74.0,65.37
1354,132.0,98.1
1355,152.0,91.03
1356,190.0,155.32
1357,40.0,37.38
1358,149.0,101.56
1359,97.0,63.92
1360,205.0,160.42
1361,240.0,172.48
1362,126.0,84.87
1363,180.0,171.0
1364,242.0,172.52
1365,111.0,88.0
1366,148.0,98.8
1367,175.0,157.73
1368,242.0,175.01
1369,147.0,101.13
1370,186.0,145.32
1371,152.0,98.43
1372,142.0,103.31
1373,141.0,99.69
1374,213.0,145.92
1375,234.0,164.24
1376,148.0,103.36
1377,196.0,157.63
1378,199.0,152.57
1379,127.0,97.99
1380,159.0,121.7
1381,142.0,109.36
1382,149.0,118.69
1383,131.0,98.29
1384,182.0,129.73
1385,202.0,151.64
1386,209.0,155.28
1387,139.0,96.6
1388,179.0,129.85
1389,123.0,101.6
1390,128.0,94.9
1391,197.0,147.96
1392,126.0,90.62
1393,201.0,146.6
1394,161.0,103.73
1395,219.0,159.72
1396,128.0,92.24
1397,157.0,129.37
1398,182.0,90.17
1399,164.0,127.12
1400,144.0,117.73
1401,187.0,145.36
1402,144.0,92.41
1403,147.0,103.39
1404,186.0,153.13
1405,195.0,155.57
1406,143.0,103.85
1407,149.0,99.91
1408,168.0,98.01
1409,127.0,98.51
1410,144.0,101.12
1411,178.0,142.89
1412,152.0,102.17
1413,93.0,78.44
1414,181.0,139.72
1415,144.0,100.12
1416,197.0,137.91
1417,96.0,72.25
1418,161.0,103.57
1419,166.0,127.38
1420,150.0,107.41
1421,143.0,104.63
1422,215.0,172.7
1423,69.0,64.26
1424,92.0,90.0
1425,123.0,92.23
1426,142.0,99.32
1427,163.0,111.08
1428,141.0,105.19
1429,136.0,102.28
1430,155.0,98.47
1431,87.0,71.62
1432,133.0,106.29
1433,172.0,88.26
1434,131.0,102.77
1435,151.0,120.2
1436,142.0,106.23
1437,87.0,65.07
1438,142.0,99.17
1439,139.0,103.74
1440,143.0,107.22
1441,52.0,44.29
1442,155.0,90.78
1443,191.0,137.98
1444,69.0,69.0
1445,90.0,79.61
1446,86.0,65.46
1447,162.0,113.99
1448,210.0,166.11
1449,151.0,105.13
1450,158.0,102.18
1451,138.0,112.49
1452,197.0,157.46
1453,177.0,161.51
1454,175.0,155.66
1455,161.0,117.76
1456,134.0,105.25
1457,145.0,112.8
1458,165.0,109.35
1459,150.0,110.51
1460,139.0,93.23
1461,187.0,134.87
1462,216.0,166.0
1463,146.0,127.64
1464,122.0,91.55
1465,149.0,99.18
1466,161.0,101.68
1467,146.0,107.04
1468,144.0,108.4
1469,79.0,76.11
1470,145.0,123.78
1471,164.0,106.68
1472,215.0,164.35
1473,147.0,102.92
1474,230.0,168.04
1475,165.0,115.9
1476,158.0,120.25
1477,123.0,99.29
1478,202.0,156.55
1479,134.0,103.32
1480,75.0,67.83
1481,147.0,106.52
1482,144.0,94.07
1483,189.0,140.2
1484,145.0,134.86
1485,97.0,94.76
1486,139.0,105.24
1487,202.0,160.36
1488,138.0,98.85
1489,58.0,58.0
1490,88.0,67.98
1491,168.0,137.33
1492,161.0,123.2
1493,149.0,103.17
1494,180.0,142.88
1495,161.0,127.68
1496,137.0,91.13
1497,144.0,130.15
1498,153.0,128.43
1499,222.0,161.01
1500,146.0,109.53
1501,134.0,94.35
1502,146.0,97.27
1503,137.0,96.57
1504,140.0,130.08
1505,146.0,109.72
1506,72.0,51.34
1507,183.0,135.81
1508,143.0,95.47
1509,230.0,169.46
1510,144.0,129.84
1511,138.0,94.48
1512,165.0,148.18
1513,79.0,75.0
1514,133.0,108.3
1515,204.0,144.61
1516,111.0,69.26
1517,149.0,99.04
1518,164.0,122.64
1519,143.0,105.73
1520,142.0,135.28
1521,143.0,101.84
1522,138.0,102.25
1523,114.0,93.14
1524,233.0,168.52
1525,142.0,128.14
1526,185.0,144.78
1527,153.0,133.47
1528,131.0,103.5
1529,139.0,107.65
1530,147.0,136.44
1531,122.0,95.19
1532,134.0,98.48
1533,136.0,126.82
1534,131.0,101.12
1535,156.0,121.11
1536,140.0,129.24
1537,131.0,100.41
1538,221.0,163.99
1539,143.0,92.73
1540,143.0,127.67
1541,179.0,127.0
1542,152.0,110.47
1543,162.0,129.2
1544,147.0,98.44
1545,119.0,93.96
1546,123.0,93.05
1547,111.0,87.99
1548,195.0,128.99
1549,147.0,113.32
1550,149.0,112.56
1551,206.0,156.09
1552,182.0,137.06
1553,147.0,105.18
1554,124.0,117.25
1555,132.0,125.77
1556,144.0,135.95
1557,169.0,128.33
1558,125.0,89.79
1559,168.0,133.31
1560,182.0,147.73
1561,100.0,87.95
1562,184.0,119.57
1563,222.0,165.36
1564,143.0,132.98
1565,122.0,93.92
1566,152.0,114.42
1567,160.0,126.9
1568,121.0,91.97
1569,150.0,111.65
1570,131.0,101.55
1571,229.0,156.14
1572,123.0,89.28
1573,161.0,122.18
1574,195.0,145.99
1575,134.0,109.56
1576,140.0,131.24
1577,149.0,113.07
1578,124.0,86.83
1579,208.0,149.94
1580,124.0,93.87
1581,178.0,136.35
1582,133.0,128.75
1583,136.0,123.41
1584,143.0,109.83
1585,137.0,101.27
1586,189.0,134.27
1587,136.0,83.34
1588,140.0,96.81
1589,219.0,162.71
1590,122.0,87.23
1591,198.0,127.64
1592,205.0,161.12
1593,144.0,106.01
